MSZoning,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,SalePrice_Log,GrLivArea_Log,LotArea_Log,MSZ_num,NbHd_num,ExtQ_num,BsQ_num,KiQ_num
RM,5,1976,1976,0.0,1040,1060,1,6,1,1976.0,2,572,11.77452020265869,6.966024187106113,8.348537825386098,2,1,2,2,2
RL,5,1968,2001,0.0,1060,1060,1,6,1,1968.0,1,270,11.944707881395766,6.966024187106113,9.017483513266844,3,1,2,1,3
RL,8,2007,2007,640.0,1566,1600,2,7,1,2007.0,3,890,12.454103912352162,7.3777589082278725,9.563107691083898,3,3,3,2,3
RL,5,1951,2000,0.0,900,900,1,5,0,2005.0,2,576,11.811547477460344,6.802394763324311,8.881836305004146,3,1,2,1,3
RL,8,2007,2008,200.0,1704,1704,2,7,1,2008.0,3,772,12.631340380934517,7.440733707389261,9.348187438668308,3,3,3,3,3
RL,5,1957,1997,0.0,1484,1600,1,6,2,1957.0,1,319,12.24288661865289,7.3777589082278725,9.700207901150696,3,1,2,1,2
RM,4,1927,1950,0.0,520,520,1,4,0,1920.0,1,240,11.134589024250317,6.253828811575473,8.752107198329362,2,1,2,1,1
C (all),4,1920,1950,0.0,649,649,1,6,0,1920.0,1,250,10.596634733096073,7.183111701743281,9.047821442478408,1,1,2,1,2
RL,5,1966,2006,0.0,1228,1228,1,6,0,1966.0,1,271,11.914047823644255,7.113142108707088,9.052984561199976,3,1,2,1,3
RL,8,2007,2007,0.0,1234,1234,2,7,0,2007.0,2,484,12.100156419938624,7.1180162044653335,9.310095205113175,3,2,3,3,3
RL,5,1959,1959,0.0,1398,1700,1,6,1,1959.0,2,447,12.016726473799254,7.438383530044307,9.26407069439715,3,1,2,1,3
RL,9,2005,2005,246.0,1561,1561,2,6,1,2005.0,2,556,12.533576212168626,7.353081920515432,8.89740886527095,3,3,4,3,4
RL,8,2004,2005,132.0,1117,1132,3,9,1,2004.0,3,691,12.641096555879882,7.804659297056102,9.504352368122833,3,3,3,3,3
RL,5,1994,1995,0.0,1097,1097,1,6,0,1995.0,2,672,11.884489021402711,7.00033446027523,9.2927495082169,3,2,2,2,2
RL,5,1954,1990,650.0,1297,1297,1,5,1,1954.0,2,498,11.938193200374572,7.167809184316444,9.05157907959124,3,1,2,1,2
RL,5,1953,2007,0.0,1057,1057,1,5,0,1953.0,1,246,11.59910316121128,6.963189985870238,8.977398978181862,3,1,2,1,3
RL,4,1955,1955,0.0,0,1152,2,6,0,1978.5061638868744,0,0,11.314474526246391,7.049254841255837,8.706159290928861,3,1,2,1,1
RL,6,1965,1965,101.0,1088,1324,2,6,1,1965.0,2,440,11.982929094215963,7.188412736496954,9.066239028001926,3,1,2,1,2
RL,5,1959,1959,0.0,1350,1328,1,5,2,1959.0,1,308,12.043553716032399,7.191429330036379,9.735364715141987,3,2,2,1,2
RL,5,1983,1983,0.0,840,884,1,5,0,1983.0,2,504,11.877568578558138,6.784457062637643,9.124782483614537,3,1,2,2,3
RL,5,1975,1980,0.0,938,938,1,5,0,1977.0,1,308,11.777210959615614,6.843749949006225,9.126958763037132,3,2,2,2,2
RL,5,1959,1959,0.0,1150,1150,1,6,0,1959.0,1,300,11.856515169360305,7.047517221357296,8.980298078970817,3,1,2,1,2
RL,9,2005,2005,412.0,1752,1752,2,6,1,2005.0,2,576,12.675763725937609,7.468513271496337,8.943506132037239,3,3,4,3,4
RL,7,2003,2003,0.0,1434,1518,1,6,1,2003.0,2,670,12.387085012375499,7.67275789664251,9.458917724547202,3,1,3,3,3
FV,8,2006,2006,0.0,1656,1656,2,7,0,2006.0,3,826,12.428015476267865,7.412160334945205,9.314339961994667,3,2,3,2,3
RM,4,1920,2008,0.0,736,736,2,8,0,1978.5061638868744,0,0,11.635143097694478,7.280697195384741,8.40200678160712,2,1,2,1,2
RL,5,1966,1966,0.0,955,955,1,6,0,1966.0,1,386,11.751942365440728,6.86171134048073,8.954415331137593,3,1,2,1,2
RL,6,1997,1997,0.0,794,794,2,6,0,1997.0,2,388,12.083905011555967,7.293017679772782,9.537411412656335,3,2,2,2,2
RM,6,1934,1950,0.0,816,816,1,6,1,1985.0,2,528,11.648330101976432,7.069874128458572,8.738735461363474,2,1,2,1,2
RM,5,1963,1963,0.0,816,816,1,5,0,1963.0,2,516,11.608235644774552,6.704414354964107,9.044521887281242,2,1,1,2,2
RL,9,1981,1987,0.0,1842,1842,0,5,1,1981.0,3,894,12.86099861326992,7.518607216815252,10.825183649068833,3,2,3,3,3
RL,5,1955,1955,0.0,384,1360,1,6,1,1962.0,2,572,11.77528972943772,7.215239978730097,8.872627365918836,3,1,2,1,2
RL,6,1964,1964,272.0,1425,1425,2,7,1,1964.0,2,576,12.103486056755072,7.261927092702751,9.227689010310796,3,1,2,1,2
FV,8,1999,2000,456.0,970,983,2,7,0,1999.0,2,480,12.058152515453552,7.461065514354283,7.8804263442924,3,2,3,2,3
RL,7,2004,2004,0.0,860,860,2,7,0,2004.0,2,565,12.188417710291453,7.450079569807499,9.36263218231844,3,2,3,2,3
RL,10,2006,2006,1031.0,1410,1426,3,10,1,2006.0,3,641,12.991753427493052,7.987864096085687,9.523836379320944,3,3,4,3,3
RL,5,1972,1972,0.0,780,780,1,4,0,1973.0,1,352,11.73526869611367,6.659293919683638,8.881836305004146,3,2,2,1,2
RL,6,2004,2004,0.0,1158,1158,1,5,0,2006.0,2,576,11.970350312009105,7.05444965813294,9.478227817099784,3,1,2,2,3
RM,5,1920,1996,0.0,530,581,1,6,0,1935.0,1,288,11.522875795823397,7.01301578963963,8.881836305004146,2,1,2,1,1
RL,8,2006,2006,178.0,1370,1370,2,6,1,2006.0,2,484,12.218495165528731,7.222566018822171,8.770594329891145,3,3,3,2,3
RM,7,1921,1950,0.0,576,902,2,9,0,1990.0,2,480,11.84939770159144,7.444248649496705,9.239899174217728,2,1,2,1,2
RL,7,1997,1998,573.0,1057,1057,2,8,0,1998.0,2,645,12.299107511497363,7.617759576608505,9.14580185083861,3,2,2,2,3
RL,8,2004,2005,344.0,1143,1143,2,9,1,2004.0,3,852,12.666657052859417,7.813187267521416,9.16858043772795,3,3,3,3,3
RL,7,1970,1989,287.0,1947,2207,2,7,1,1970.0,2,576,12.100712129872347,7.699389406256737,9.898475010712584,3,1,2,2,2
RL,7,2003,2003,167.0,1453,1479,2,7,0,2003.0,2,558,12.328290278254423,7.2991214627108,9.274722630905451,3,2,3,2,3
RM,4,1945,1950,0.0,747,747,1,4,0,1945.0,1,220,11.289781913656018,6.616065185132817,8.435549202375727,2,1,2,1,2
RL,7,1953,1953,0.0,1304,1304,2,7,1,1953.0,2,667,12.323855681186558,7.734996194022781,9.654577374584886,3,2,3,1,2
RL,7,1973,1973,1115.0,2223,2223,2,8,2,1973.0,2,516,12.404923504275338,7.706612913964197,9.521568058002977,3,1,2,2,2
RL,4,1982,2006,0.0,845,845,1,4,0,1987.0,2,360,11.771436160121729,6.739336627357174,8.935771938669784,3,1,2,1,2
RL,7,1998,1998,40.0,832,885,2,7,1,1998.0,2,427,12.128111104060462,7.4489161025442,9.224341891611996,3,2,2,2,2
RL,5,1954,2003,104.0,1086,1086,1,6,0,1989.0,2,490,11.883799128308773,6.990256500493881,9.230142999272362,3,1,2,1,2
RM,3,1915,1950,0.0,840,840,2,8,0,1915.0,1,379,11.584315461056901,7.380879035564116,8.663887570567042,2,1,3,1,2
RM,4,1973,1973,0.0,462,526,1,5,0,1973.0,1,297,11.418614785498987,6.895682697747868,7.3752557780097545,2,1,2,2,2
RL,4,1956,1956,0.0,952,952,1,4,0,1956.0,1,283,11.818570237796182,6.858565034791365,9.044875932248651,3,1,2,1,2
RM,5,1948,2001,0.0,672,1072,1,6,0,1948.0,1,240,11.751942365440728,7.158513997329321,9.06357899058078,2,1,2,1,2
RL,4,1968,1968,0.0,1768,1768,2,8,0,1978.5061638868744,0,0,11.824079893607152,7.477604243197589,9.285262298493443,3,1,2,1,2
RM,5,1910,1981,0.0,440,682,1,5,0,1966.0,2,440,11.608235644774552,7.114769448366463,9.25339986143663,2,1,2,1,2
RL,6,1968,1968,576.0,896,1182,2,8,1,1968.0,1,509,12.173032791451973,7.669495251007694,9.472704636443673,3,1,2,2,3
RM,6,1998,1998,443.0,1237,1337,2,5,0,1998.0,2,405,11.941455846009388,7.198183577101943,8.411832675758411,2,1,2,3,2
RL,8,2007,2007,468.0,1563,1563,2,6,1,2007.0,3,758,12.409013489526863,7.354362330421477,9.230731061623917,3,2,2,2,3
RL,5,1960,1960,66.0,1065,1065,1,6,0,1974.0,2,461,11.747997587149712,6.970730078143525,9.092907275084087,3,1,2,1,2
RL,7,1995,1996,22.0,384,804,2,7,1,1995.0,2,400,12.034691028774553,7.295735072749282,9.051344640485725,3,2,2,2,2
RL,8,1991,1992,284.0,1288,1301,2,9,1,1991.0,2,462,12.468436909997665,7.790282380703483,9.68402471906149,3,3,3,2,3
RL,6,2005,2005,0.0,684,684,2,6,1,2005.0,2,400,12.066810578196666,7.352441100243583,9.385217621880901,3,2,3,2,3
FV,6,2009,2009,76.0,612,612,2,4,0,2009.0,2,528,12.010665849187564,7.1098794630722715,8.281723990411392,3,2,3,2,3
C (all),3,1915,1982,0.0,1013,1013,1,6,0,1978.5061638868744,0,0,11.350406535472453,7.330405211844402,9.0442857876461,1,1,1,1,1
RL,4,1994,1995,0.0,990,990,1,5,0,1978.5061638868744,0,0,11.724805824005728,6.897704943128636,8.995908761263994,3,2,2,2,2
RL,4,1950,1950,0.0,0,1040,1,4,0,1950.0,2,420,11.607326140391713,6.946975992135418,8.881836305004146,3,1,2,1,2
RL,5,1961,1961,203.0,1235,1235,1,6,0,1961.0,2,480,11.498826540590727,7.118826249062078,9.047821442478408,3,1,2,1,2
RL,5,1921,2006,0.0,876,964,1,5,0,1921.0,2,432,12.004568269319446,6.871091294610546,9.500020447090638,3,2,2,2,2
C (all),6,1910,1998,0.0,1214,1260,2,9,1,1900.0,2,506,11.804848531679264,7.736743682453495,8.881836305004146,1,1,2,1,2
RL,6,1997,1997,0.0,824,905,2,7,0,1997.0,2,684,12.229545001715316,7.487733761436444,9.141740280483926,3,2,2,2,3
RL,6,1993,1993,68.0,680,680,2,6,1,1993.0,2,420,12.128111104060462,7.293017679772782,9.186559843310778,3,2,4,2,2
RL,7,1999,1999,183.0,1588,1588,2,6,0,1999.0,2,472,12.273731294003989,7.370230641807081,9.236397906295473,3,2,3,2,3
RL,4,1965,1965,48.0,960,960,1,6,0,1965.0,1,432,11.458997122944673,6.866933284461882,9.298442820197728,3,1,2,1,2
RL,5,1920,1950,0.0,458,835,1,5,0,1920.0,1,366,11.326595886778735,6.727431724850855,9.270964993792617,3,1,2,1,2
RL,4,1959,1959,0.0,950,1225,1,6,0,1978.5061638868744,0,0,11.76718001130949,7.110696122978827,9.139917907679637,3,1,2,1,2
RL,6,1977,2001,28.0,1610,1610,2,6,2,1977.0,2,480,12.230765258120545,7.383989457978509,9.268892258925797,3,2,2,1,3
RL,6,1985,1985,336.0,741,977,2,7,1,1985.0,2,476,12.089538829274222,7.4570320891223805,9.127610724377186,3,1,3,2,3
RL,5,1979,1979,0.0,0,1535,2,8,0,1979.0,2,410,11.686576205316552,7.336285660021297,8.85623355614316,3,1,2,1,2
RL,7,2009,2009,0.0,1226,1226,2,6,0,2009.0,3,740,12.200557464842063,7.111512116496157,9.249753374333018,3,2,2,2,3
RM,7,1931,1950,600.0,1040,1226,1,7,2,1951.0,1,240,12.040608205802641,7.505492274737424,8.956479847999912,2,1,2,1,2
FV,8,2003,2004,768.0,1053,1053,2,9,1,2003.0,2,648,12.429216196844383,7.596894438144544,9.14580185083861,3,2,3,3,3
RM,4,1885,1995,0.0,641,1047,1,6,0,1954.0,1,273,11.512925464970229,6.953684210870537,9.287301413112312,2,1,2,1,2
RM,5,1948,1950,0.0,789,789,1,5,0,1948.0,1,250,11.652687407345388,6.670766320845874,8.699514748210191,2,1,2,1,2
RM,5,1919,2005,0.0,793,997,2,7,0,1978.5061638868744,0,0,11.652687407345388,7.324489979348532,9.047821442478408,2,1,2,1,1
RL,6,1977,1977,480.0,1844,1844,2,7,1,1977.0,2,546,12.154779351142624,7.519692404116539,9.371693622333941,3,2,2,2,2
RL,6,1954,1972,0.0,994,1216,2,7,0,1954.0,1,325,11.82700601127654,7.5256399750415355,9.161675199994901,3,1,2,1,2
RL,7,2000,2000,0.0,384,774,2,7,1,2000.0,2,400,12.100712129872347,7.265429723253953,8.955448122347393,3,2,2,2,2
RL,7,2007,2007,220.0,1264,1282,2,10,1,2007.0,3,792,12.858319703517948,7.899524472032198,9.206834232646894,3,2,3,3,4
RL,6,1953,1953,184.0,1809,2259,2,7,2,1953.0,2,450,12.287652632522597,7.7226775164680035,9.95227771670556,3,2,2,2,3
RL,6,1945,2002,0.0,1028,1436,2,9,1,1945.0,1,180,12.46651198158808,7.749322464660356,8.889997357284841,3,2,2,1,3
FV,6,1999,1999,1129.0,729,729,2,5,1,1999.0,2,440,12.078239274020289,7.284820912568604,8.080237416216702,3,2,2,2,2
RL,5,1962,1962,116.0,1092,1092,1,6,1,1962.0,1,288,11.842229212112828,6.9957661563048505,9.360138737064577,3,1,2,1,2
RL,5,2006,2007,0.0,1125,1125,1,5,0,2007.0,2,430,11.951180395901384,7.025538314638521,9.05204779298159,3,1,2,2,2
RL,7,1990,1990,0.0,1673,1699,3,11,2,1990.0,3,594,12.676076274775909,8.07775756373692,9.423514392252901,3,1,2,2,3
RL,6,2005,2006,0.0,728,728,2,8,1,2005.0,2,390,12.007560729337492,7.283448228756631,9.0432226489245,3,2,3,2,3
RL,6,1969,1969,0.0,938,988,1,4,2,1969.0,2,540,12.100712129872347,6.895682697747868,9.973619774716505,3,2,2,1,2
RM,4,1939,1950,0.0,732,772,1,4,0,1979.0,1,264,11.512925464970229,7.023758954738443,8.70946507906336,2,1,2,1,2
RL,6,1958,1958,135.0,1080,1080,1,5,0,1958.0,1,288,11.820410164718188,6.984716320118266,9.155250405658222,3,1,2,1,2
RL,6,1993,1993,0.0,1199,1199,2,5,0,1993.0,2,530,11.94405831982697,7.089243155027514,8.973604867142505,3,1,3,2,3
RL,6,1979,1998,0.0,1362,1586,2,7,1,1979.0,2,435,12.106252310247962,7.368970402194793,9.743494841225237,3,2,2,2,2
RM,6,1935,1982,0.0,520,520,1,5,0,1978.5061638868744,0,0,11.344506813345266,6.625392368007956,8.821732380934442,2,1,2,1,2
RL,6,1976,1976,0.0,1078,958,2,5,1,1977.0,2,440,11.759785542901755,6.86484777797086,8.502688505213357,3,1,2,2,2
RM,5,1930,1950,0.0,672,840,1,5,1,1978.5061638868744,0,0,11.37366339763672,6.733401891837359,8.38662882139512,2,1,2,1,2
RL,6,1966,1966,266.0,660,660,1,6,1,1966.0,2,453,11.951180395901384,7.206377291472252,8.934586870389676,3,1,2,1,2
RL,5,1958,1991,85.0,1008,1053,1,6,0,1998.0,2,750,11.918390573078392,6.959398512133975,9.101975347298058,3,1,2,1,4
RL,7,1966,1966,309.0,924,1216,2,8,2,1966.0,2,487,12.328290278254423,7.676473646389156,9.560997243589352,3,1,2,1,3
RL,6,2000,2000,40.0,992,1022,2,7,1,2000.0,2,390,12.404923504275338,7.627544390488503,9.411156511406302,3,2,3,2,3
RL,5,1959,2002,0.0,1063,1327,1,7,0,1974.0,2,624,11.923378114589433,7.190676034332207,8.90761234131913,3,1,2,1,3
RL,8,2001,2002,136.0,1267,1296,2,6,0,2001.0,2,471,12.301382825334498,7.16703787691222,8.832441791585824,3,2,3,3,3
RL,5,1968,1993,0.0,1461,1721,2,7,1,1968.0,2,440,12.100712129872347,7.450660796211539,9.24329147211587,3,1,2,1,2
RL,7,1970,1970,288.0,1304,1682,2,7,1,1970.0,2,530,12.066810578196666,7.427738840532894,9.249561085129464,3,2,2,1,2
RL,5,1967,1967,196.0,1214,1214,2,5,1,1967.0,1,318,11.870599909242044,7.101675971619444,9.245224773829685,3,1,2,1,2
RL,7,1988,1989,70.0,1907,1959,3,9,0,1989.0,3,766,12.049418835484797,7.580189417944541,9.311994025702683,3,1,2,1,2
RL,8,1999,2000,320.0,1004,1004,2,7,2,1999.0,3,660,12.345834587905333,7.524021415206125,9.112286431500795,3,2,3,2,3
RL,6,1997,1997,0.0,928,928,2,7,0,1997.0,2,470,12.352335152508426,7.475339236566737,9.643809676493944,3,2,2,2,3
RL,4,1971,1971,0.0,864,864,1,5,1,1978.5061638868744,0,0,11.652687407345388,6.761572768804055,9.259130536145614,3,1,2,1,2
RL,7,2005,2005,0.0,1734,1734,2,7,0,2005.0,2,660,12.468436909997665,7.458186157340487,9.36263218231844,3,2,3,2,3
RL,5,1952,1952,0.0,910,910,2,6,0,2000.0,2,720,12.01974306733868,7.233455418621439,9.050171619823361,3,1,2,1,2
RL,7,1999,1999,183.0,1490,1501,2,6,0,1999.0,2,577,12.225875272826354,7.313886831633462,9.24329147211587,3,2,3,2,3
RM,5,1963,1963,336.0,1728,1728,2,10,0,1963.0,2,504,11.736069016284437,7.454719949364001,9.116029692504942,2,1,2,1,2
RM,6,2004,2006,50.0,970,970,2,7,0,2004.0,2,380,11.77528972943772,7.443663683115591,7.8328075165248645,2,1,3,2,3
RM,5,1931,1993,0.0,715,875,1,5,0,1931.0,1,180,11.56171562913966,6.774223886357614,8.719317375506371,2,1,2,1,2
RL,7,2001,2001,180.0,884,884,2,8,1,2001.0,2,434,12.312682380588432,7.618251097876695,9.15957325492253,3,2,3,2,3
RL,7,2004,2005,120.0,1080,1080,1,6,0,1978.5061638868744,0,0,11.856515169360305,6.984716320118266,8.922658299524402,3,1,2,2,3
RM,5,1936,1950,0.0,896,896,1,7,0,1936.0,1,240,11.652687407345388,7.203405521083095,8.738735461363474,2,1,2,2,2
RL,5,1975,1975,0.0,969,969,1,5,0,1975.0,2,440,11.711776323715394,6.876264611890766,9.245321340871428,3,2,2,1,2
RL,8,2007,2008,436.0,1710,1710,2,6,1,2007.0,3,866,12.827729194939907,7.444248649496705,9.53899642739739,3,3,3,3,3
RL,6,1971,1971,252.0,825,1097,2,8,1,1971.0,2,495,12.154779351142624,7.597396320212795,9.602585141913492,3,2,2,1,2
RL,6,1960,1975,0.0,1602,1252,1,4,1,1960.0,2,564,12.367340793126296,7.132497551660044,9.51044496442652,3,2,2,2,2
RM,6,1923,1950,0.0,1200,1200,1,7,0,1923.0,1,312,11.736069016284437,7.090076835776092,9.336091577281744,2,1,2,1,2
RL,6,1924,1950,0.0,572,572,1,5,0,1978.5061638868744,0,0,11.27720313144916,6.999422467507961,9.169518377455928,3,1,2,1,2
RL,5,1950,1950,0.0,0,1040,1,5,0,1950.0,2,625,11.603679828238693,6.946975992135418,8.881836305004146,3,1,2,1,2
RL,8,2009,2010,84.0,774,774,2,8,1,2009.0,3,680,12.504323669331189,7.584773077612199,9.392911897525345,3,2,3,3,4
FV,7,2004,2005,0.0,991,991,2,8,1,2004.0,2,678,12.448626590364206,7.5740450053721995,9.437635294412868,3,2,3,2,3
RL,7,2005,2006,456.0,1392,1392,2,9,1,2006.0,2,576,12.676076274775909,7.808729306744399,9.87189368094495,3,2,3,2,3
RL,6,1984,1984,0.0,1232,1232,2,6,0,1984.0,2,516,11.998433280751929,7.116394144093465,9.316500567804573,3,2,2,2,2
RL,9,2003,2004,664.0,1572,1572,2,10,2,2003.0,3,726,12.929991484756872,7.889084407035514,9.52427481557203,3,3,3,3,4
RL,7,2005,2005,226.0,1541,1541,2,7,1,2005.0,2,532,12.301382825334498,7.340186835320115,9.40771473139643,3,3,3,2,3
RL,4,1956,1956,0.0,882,882,1,4,0,1978.5061638868744,0,0,11.544424132029599,6.782192056006791,8.612503371220562,3,1,2,1,2
RM,6,1926,2004,0.0,1149,1149,2,5,0,1926.0,1,216,11.931635799828413,7.38770923908104,8.594154232552366,2,1,2,1,3
RL,5,1940,1999,0.0,644,808,2,6,0,1978.5061638868744,0,0,11.755871643580617,7.2115567333138015,9.220884585851854,3,1,2,1,2
RL,5,1955,1993,0.0,1617,1867,1,7,3,1955.0,1,303,12.154779351142624,7.532088143541722,9.278746404640243,3,2,3,1,2
RL,8,2007,2007,300.0,1582,1610,1,8,1,2007.0,3,789,12.693498620467778,7.6783263565068856,9.26501793326688,3,3,3,3,4
RL,7,2004,2004,0.0,840,840,2,7,1,2004.0,2,440,12.119969946476761,7.450079569807499,9.01724094201035,3,2,3,2,3
RL,8,1981,1981,653.0,1686,1707,2,6,1,1981.0,2,511,12.337100907936577,7.442492722794441,9.721305985943088,3,2,3,2,2
RM,5,1941,1950,0.0,720,854,1,7,0,1991.0,2,660,11.763684183317412,7.231287004327616,9.422058905620926,2,1,2,1,2
RL,6,1960,1960,112.0,1080,1656,1,7,2,1960.0,2,528,12.2783933071098,7.412160334945205,10.366277727263562,3,1,2,1,2
RL,7,1987,1987,0.0,1064,1064,2,5,1,1987.0,2,504,12.384218830913648,7.4770384723196965,8.576593534697684,3,3,3,2,3
RL,6,1961,1961,491.0,1362,1362,1,6,1,1961.0,2,504,12.0015054797889,7.216709486709457,9.229848838364227,3,1,2,1,2
RL,6,1986,1986,132.0,1606,1651,2,7,1,1986.0,2,616,12.122691036591123,7.409136443920128,9.426741242423,3,2,2,2,2
RL,6,1950,2001,0.0,1202,2158,2,7,1,1950.0,2,576,12.400816722322686,7.67693714581808,9.442641861075158,3,1,2,1,3
RL,6,1988,1989,268.0,1151,1164,2,8,1,1988.0,2,521,12.259613412458204,7.630461261783627,9.213236175088209,3,2,3,2,2
RL,5,1958,1958,0.0,1052,1252,2,8,1,1958.0,2,451,12.058152515453552,7.560080465021827,9.521494800613105,3,1,3,1,3
RL,9,2008,2009,748.0,2216,2234,2,9,1,2009.0,3,1166,13.1260306447518,7.711548979629146,9.765546451422905,3,3,4,3,4
RM,5,1923,2006,0.0,968,968,1,5,0,1935.0,2,480,11.512925464970229,6.875232087276577,9.050171619823361,2,1,3,1,2
FV,6,2000,2000,456.0,756,769,2,5,1,2000.0,2,440,12.083905011555967,7.329749689041512,7.6577552711348655,3,2,3,2,3
RL,7,1920,1950,0.0,793,901,1,9,1,1920.0,1,216,12.206572520571825,7.496652438168283,8.934323331054905,3,2,2,1,2
RL,5,1957,2006,98.0,0,1340,1,7,1,1957.0,1,252,11.695247021764184,7.200424892944957,9.111624399037025,3,1,2,1,2
RM,7,2003,2003,0.0,1362,1362,2,6,0,2003.0,2,484,12.206072645530174,7.641084249174914,9.343646739284408,2,1,2,2,3
RL,5,1908,1991,0.0,504,936,1,5,0,1986.0,2,576,11.751942365440728,7.132497551660044,8.914357274485015,3,1,2,1,2
RM,10,1892,1993,0.0,1107,1518,2,12,2,1993.0,3,840,13.071070083016778,8.190908881182514,10.04107321548869,2,1,3,1,4
RL,7,1990,1991,0.0,1188,1217,2,6,0,1990.0,2,497,12.061046873479915,7.104144092987527,9.205026277152413,3,1,2,2,3
RL,5,1916,1987,0.0,660,808,2,8,0,1916.0,1,180,11.813030057420567,7.412160334945205,9.250522161609014,3,1,2,1,2
RL,5,1979,1979,275.0,1086,1224,0,6,2,1979.0,2,528,11.940393392554734,7.1098794630722715,8.85623355614316,3,1,2,2,2
RL,8,2001,2002,0.0,1593,1593,1,5,1,2001.0,2,682,12.56374708980199,7.373374309910049,8.5016733797582,3,3,3,3,4
RL,8,1932,1994,0.0,853,1549,2,10,2,1932.0,2,440,12.66032791780777,7.910957382845589,9.265775078864284,3,2,3,2,3
RL,7,1972,2004,138.0,725,725,1,7,0,1972.0,2,484,12.122691036591123,7.2991214627108,8.918917979908679,3,1,2,1,3
RL,7,1999,1999,0.0,1431,1431,2,6,0,1999.0,2,666,12.165250651009918,7.266128779556451,9.106866963499908,3,2,3,2,3
RM,7,2004,2004,50.0,970,970,2,7,0,2004.0,2,380,11.77528972943772,7.443663683115591,7.8328075165248645,2,1,3,2,3
RL,5,1972,1972,0.0,864,864,1,5,0,1989.0,1,352,11.751942365440728,6.761572768804055,8.87905466204227,3,2,2,1,2
RL,6,1976,1976,0.0,855,855,2,7,1,1976.0,2,440,11.908340237224891,7.283448228756631,7.731930721948486,3,1,2,2,2
